dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200071371;CC Bresse et Saône;CC;FPU;20;26129;25513;01;01023;210100236;Asnières-sur-Saône;76;76;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01053;210100533;Bourg-en-Bresse;43363;41681;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01451;210104519;Viriat;6817;6665;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01289;210102893;Péronnas;6735;6460;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01344;210103446;Saint-Denis-lès-Bourg;6137;5971;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01024;210100244;Attignat;3365;3299;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01072;210100723;Ceyzériat;3265;3202;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01301;210103016;Polliat;2667;2606;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01266;210102661;Montrevel-en-Bresse;2619;2576;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01350;210103503;Saint-Étienne-du-Bois;2575;2538;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01426;200057347;Val-Revermont;2561;2506;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01130;200086965;Bresse Vallons;2406;2368;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01232;210102323;Marboz;2319;2275;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01254;210102547;Montagnat;2193;2142;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01163;210101630;Foissiat;2050;2016;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01374;210103743;Saint-Martin-du-Mont;1922;1877;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01065;210100657;Buellas;1889;1825;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01195;210101952;Jasseron;1861;1822;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01069;210100699;Certines;1553;1514;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01211;210102117;Lent;1436;1397;;;
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;74;137751;133942;01;01241;210102414;Meillonnas;1414;1379;;;
